4916 6274
0	2883	1566
1	1980	2283
2	1878	3825
3	2772	4844
4	1858	1550
5	1073	2276
6	4041	1452
7	1090	2330
8	1954	2842
9	1407	4086
10	4766	4392
11	1215	2839
12	2868	83
13	3406	4775
14	2979	4232
15	1778	4818
16	2279	1808
17	2636	697
18	2165	3549
19	3210	675
20	3398	1020
21	2554	601
22	2809	258
23	3208	2641
24	1331	3899
25	3985	4248
26	3077	3348
27	1360	505
28	184	338
29	3955	3460
30	3712	3014
31	2773	1656
32	4363	1135
33	1996	834
34	1425	4896
35	4438	896
36	2000	97
37	3235	1730
38	3539	2843
39	3043	1902
40	4528	1984
41	1214	518
42	1389	319
43	3594	4170
44	4304	2922
45	4443	3383
46	3606	1965
47	1204	4859
48	4241	3544
49	4846	915
50	852	3286
51	4400	4185
52	4416	3473
53	4762	2804
54	1760	2877
55	1227	126
56	347	3582
57	3651	3966
58	893	3773
59	3594	1208
60	4121	1034
61	1587	2347
62	2975	675
63	1375	4635
64	4076	2077
65	4284	1389
66	2983	1162
67	4680	651
68	3841	97
69	4670	4121
70	4568	2278
71	457	4895
72	1997	1661
73	648	2901
74	4106	1072
75	486	2747
76	4407	2478
77	3657	1638
78	511	253
79	3520	2897
80	3945	1116
81	1314	3882
82	1501	594
83	4135	1247
84	34	2746
85	1269	359
86	2944	2467
87	3257	1978
88	3942	1418
89	1702	1256
90	2407	2255
91	1551	1469
92	278	1266
93	3920	53
94	3869	4695
95	4512	3415
96	3918	3346
97	4761	4856
98	1817	3781
99	3673	2482
100	2749	1263
101	1300	931
102	1453	186
103	896	4305
104	4644	4875
105	705	1994
106	2336	4139
107	4302	550
108	2953	548
109	4299	774
110	3733	2214
111	3369	4819
112	696	3116
113	1504	1047
114	964	821
115	270	267
116	3174	2972
117	3283	2679
118	4751	743
119	3721	5
120	2126	1471
121	1466	375
122	1351	2533
123	2882	1389
124	4858	4667
125	3964	2804
126	3907	2840
127	4065	4085
128	1364	3057
129	1257	2791
130	171	213
131	2943	1740
132	901	3172
133	4735	2534
134	3840	3762
135	1592	1677
136	1494	2560
137	339	63
138	1646	2972
139	2068	3420
140	1423	3763
141	222	1714
142	827	2017
143	427	2063
144	1633	4182
145	4608	3814
146	4072	1804
147	261	2923
148	2441	150
149	3175	4687
150	3808	3617
151	114	1579
152	3716	2472
153	2392	1917
154	1740	2068
155	4110	1417
156	3890	2344
157	4898	4829
158	534	4163
159	4530	563
160	2836	740
161	1516	4152
162	727	3423
163	4856	2732
164	1017	1940
165	722	1752
166	2177	2317
167	2351	3425
168	3939	4273
169	4535	2488
170	562	471
171	591	98
172	1815	2699
173	3551	2823
174	547	4450
175	2507	3116
176	1682	4877
177	879	3424
178	2131	1600
179	1654	3977
180	3500	3876
181	2965	3058
182	2602	3040
183	4421	1814
184	2986	409
185	2726	1121
186	1356	3230
187	2259	1706
188	2874	4553
189	3826	3575
190	2882	3516
191	4025	3658
192	2368	2705
193	1136	3144
194	1584	908
195	4348	72
196	1768	1772
197	3766	3741
198	339	2154
199	3179	1285
200	983	640
201	1649	1605
202	3382	1440
203	2968	1162
204	4238	2287
205	3621	1063
206	2860	4659
207	2744	2650
208	4397	84
209	2276	318
210	3070	3760
211	4529	4157
212	2004	4447
213	156	2726
214	230	3584
215	404	3264
216	4548	1331
217	1602	2913
218	2670	806
219	2082	3029
220	3716	3722
221	1599	4153
222	731	120
223	4399	3694
224	3058	83
225	356	4554
226	3390	4284
227	2160	1128
228	1476	4546
229	932	328
230	3208	1781
231	4426	1823
232	3414	3141
233	238	628
234	2697	3612
235	2017	412
236	3527	2049
237	3566	3742
238	4076	4424
239	4814	865
240	3697	1427
241	4760	2746
242	1600	2111
243	2754	1729
244	4885	3295
245	2127	1002
246	4791	2699
247	4872	4714
248	2204	3213
249	4326	1027
250	1737	1096
251	2680	4253
252	3513	3081
253	2876	1794
254	4178	502
255	1768	620
256	3725	2189
257	1124	4534
258	3061	2122
259	1651	887
260	2490	3747
261	4214	1325
262	4547	1577
263	380	2240
264	2883	1392
265	1431	2347
266	2226	3598
267	1873	2071
268	3850	2232
269	884	3747
270	4139	4693
271	1450	397
272	4799	2241
273	1341	2983
274	3818	1172
275	370	2678
276	2346	1557
277	69	1504
278	2354	4031
279	3108	1051
280	4694	270
281	3797	2353
282	4242	4120
283	1341	4826
284	3051	2625
285	2677	4377
286	2915	872
287	3657	3527
288	3347	104
289	1726	4585
290	1327	1713
291	880	2824
292	3320	4417
293	3036	1560
294	1054	4011
295	4063	4424
296	1100	606
297	1708	4083
298	103	2860
299	2444	3899
300	1216	1452
301	2716	3223
302	2680	2500
303	3087	3457
304	1062	3702
305	1727	2474
306	2614	546
307	3841	454
308	270	2852
309	728	1615
310	3732	1580
311	3667	1066
312	1771	3734
313	1004	3580
314	1983	3858
315	4426	2656
316	2265	4071
317	3458	2605
318	1472	4701
319	71	199
320	4125	4863
321	4331	3075
322	4099	719
323	4591	3084
324	2621	4869
325	518	1928
326	1260	2991
327	2295	2740
328	4452	441
329	2886	4080
330	1321	3195
331	57	15
332	3771	4265
333	367	1590
334	4849	235
335	2986	4732
336	3277	317
337	193	2531
338	2899	2302
339	2653	1905
340	3003	2726
341	1413	1501
342	2357	4461
343	3511	2849
344	1131	3715
345	4834	2845
346	2033	3865
347	4552	280
348	2907	1494
349	94	3883
350	1114	2710
351	4034	1959
352	3137	2120
